adjectifs,ensembles des traits morpho,catégorie
soutenable,"[('soutenable', 's'), ('soutenables', 'p')]",variations en genre et en nombre silencieuses
souterrain,"[('souterrain', 'ms'), ('souterraine', 'fs'), ('souterraines', 'fp'), ('souterrains', 'mp')]",variations en genre audible et en nombre silencieuses
souverain,"[('souverain', 'ms'), ('souverain', 's'), ('souveraine', 'fs'), ('souveraines', 'fp'), ('souverains', 'mp'), ('souverains', 'p')]",variations en genre audible et en nombre silencieuses
souverainiste,"[('souverainiste', 's'), ('souverainistes', 'p')]",variations en genre et en nombre silencieuses
soviétique,"[('soviétique', 's'), ('soviétiques', 'p')]",variations en genre et en nombre silencieuses
soyeux,"[('soyeuse', 'fs'), ('soyeuses', 'fp'), ('soyeux', 'm')]",variations en genre audible et en nombre silencieuses
soûl,"[('soûl', 'ms'), ('soûle', 'fs'), ('soûles', 'fp'), ('soûls', 'mp')]",invariable
soûlant,"[('soûlant', 'ms'), ('soûlante', 'fs'), ('soûlantes', 'fp'), ('soûlants', 'mp')]",variations en genre audible et en nombre silencieuses
spacial,"[('spacial', 'ms'), ('spaciale', 'fs'), ('spaciales', 'fp'), ('spaciaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
spacieux,"[('spacieuse', 'fs'), ('spacieuses', 'fp'), ('spacieux', 'm')]",variations en genre audible et en nombre silencieuses
spartiate,"[('spartiate', 's'), ('spartiates', 'p')]",variations en genre et en nombre silencieuses
spasmodique,"[('spasmodique', 's'), ('spasmodiques', 'p')]",variations en genre et en nombre silencieuses
spatial,"[('spatial', 'ms'), ('spatiale', 'fs'), ('spatiales', 'fp'), ('spatials', 'mp'), ('spatiaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
spatio-temporel,"[('spatio-temporel', 'ms'), ('spatio-temporelle', 'fs'), ('spatio-temporelles', 'fp'), ('spatio-temporels', 'mp')]",variations en genre et en nombre silencieuses
spectacle,"[('spectacle', 's'), ('spectacles', 'p')]",variations en genre et en nombre silencieuses
spectaculaire,"[('spectaculaire', 's'), ('spectaculaires', 'p')]",variations en genre et en nombre silencieuses
spectral,"[('spectral', 'ms'), ('spectrale', 'fs'), ('spectrales', 'fp'), ('spectraux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
sphinctérien,"[('sphinctérien', 'ms'), ('sphinctérienne', 'fs'), ('sphinctériennes', 'fp'), ('sphinctériens', 'mp')]",variations en genre audible et en nombre silencieuses
sphérique,"[('sphérique', 's'), ('sphériques', 'p')]",variations en genre et en nombre silencieuses
spinal,"[('spinal', 'ms'), ('spinale', 'fs'), ('spinales', 'fp'), ('spinaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
spinescent,"[('spinescent', 'ms'), ('spinescente', 'fs'), ('spinescentes', 'fp'), ('spinescents', 'mp')]",variations en genre audible et en nombre silencieuses
spiritualiste,"[('spiritualiste', 's'), ('spiritualistes', 'p')]",variations en genre et en nombre silencieuses
spirituel,"[('spirituel', 'ms'), ('spirituelle', 'fs'), ('spirituelles', 'fp'), ('spirituels', 'mp')]",variations en genre et en nombre silencieuses
splendide,"[('splendide', 's'), ('splendides', 'p')]",variations en genre et en nombre silencieuses
spongiforme,"[('spongiforme', 's'), ('spongiformes', 'p')]",variations en genre et en nombre silencieuses
spontané,"[('spontané', 'ms'), ('spontanée', 'fs'), ('spontanées', 'fp'), ('spontanés', 'mp')]",variations en genre et en nombre silencieuses
sporadique,"[('sporadique', 's'), ('sporadiques', 'p')]",variations en genre et en nombre silencieuses
sportif,"[('sportif', 'ms'), ('sportifs', 'mp'), ('sportive', 'fs'), ('sportives', 'fp')]",variations en genre audible et en nombre silencieuses
spécial,"[('spécial', 'ms'), ('spéciale', 'fs'), ('spéciales', 'fp'), ('spéciaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
spécialiste,"[('spécialiste', 's'), ('spécialistes', 'p')]",variations en genre et en nombre silencieuses
spécialisé,"[('spécialisé', 'ms'), ('spécialisée', 'fs'), ('spécialisées', 'fp'), ('spécialisés', 'mp')]",variations en genre et en nombre silencieuses
spécieux,"[('spécieuse', 'fs'), ('spécieuses', 'fp'), ('spécieux', 'm')]",variations en genre audible et en nombre silencieuses
spécifique,"[('spécifique', 's'), ('spécifiques', 'p')]",variations en genre et en nombre silencieuses
spéculatif,"[('spéculatif', 'ms'), ('spéculatifs', 'mp'), ('spéculative', 'fs'), ('spéculatives', 'fp')]",variations en genre audible et en nombre silencieuses
spéléologique,"[('spéléologique', 's'), ('spéléologiques', 'p')]",variations en genre et en nombre silencieuses
squelettique,"[('squelettique', 's'), ('squelettiques', 'p')]",variations en genre et en nombre silencieuses
sri-lankais,"[('sri-lankais', 'm'), ('sri-lankaise', 'fs'), ('sri-lankaises', 'fp')]",variations en genre audible et en nombre silencieuses
stabilisateur,"[('stabilisateur', 'ms'), ('stabilisateurs', 'mp'), ('stabilisatrice', 'fs'), ('stabilisatrices', 'fp')]",invariable
stable,"[('stable', 's'), ('stables', 'p')]",variations en genre et en nombre silencieuses
stagnant,"[('stagnant', 'ms'), ('stagnante', 'fs'), ('stagnantes', 'fp'), ('stagnants', 'mp')]",variations en genre audible et en nombre silencieuses
stalinien,"[('stalinien', 'ms'), ('stalinienne', 'fs'), ('staliniennes', 'fp'), ('staliniens', 'mp')]",variations en genre audible et en nombre silencieuses
stallonien,"[('stallonien', 'ms'), ('stallonienne', 'fs'), ('stalloniennes', 'fp'), ('stalloniens', 'mp')]",variations en genre audible et en nombre silencieuses
staminal,"[('staminal', 'ms'), ('staminalle', 'fs'), ('staminalles', 'fp'), ('staminals', 'mp')]",variations en genre et en nombre silencieuses
standard,"[('standard', '')]",invariable
statif,"[('statif', 'ms'), ('statifs', 'mp'), ('stative', 'fs'), ('statives', 'fp')]",variations en genre audible et en nombre silencieuses
statique,"[('statique', 's'), ('statiques', 'p')]",variations en genre et en nombre silencieuses
statistique,"[('statistique', 's'), ('statistiques', 'p')]",variations en genre et en nombre silencieuses
statutaire,"[('statutaire', 's'), ('statutaires', 'p')]",variations en genre et en nombre silencieuses
stellaire,"[('stellaire', 's'), ('stellaires', 'p')]",variations en genre et en nombre silencieuses
stigmatique,"[('stigmatique', 's'), ('stigmatiques', 'p')]",variations en genre et en nombre silencieuses
stigmatisant,"[('stigmatisant', 'ms'), ('stigmatisante', 'fs'), ('stigmatisantes', 'fp'), ('stigmatisants', 'mp')]",variations en genre audible et en nombre silencieuses
stimulant,"[('stimulant', 'ms'), ('stimulante', 'fs'), ('stimulantes', 'fp'), ('stimulants', 'mp')]",variations en genre audible et en nombre silencieuses
stipité,"[('stipité', 'ms'), ('stipitée', 'fs'), ('stipitées', 'fp'), ('stipités', 'mp')]",variations en genre et en nombre silencieuses
stipulaire,"[('stipulaire', 's'), ('stipulaires', 'p')]",variations en genre et en nombre silencieuses
stolonifère,"[('stolonifère', 's'), ('stolonifères', 'p')]",variations en genre et en nombre silencieuses
stomacal,"[('stomacal', 'ms'), ('stomacale', 'fs'), ('stomacales', 'fp'), ('stomacaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
stoïque,"[('stoïque', 's'), ('stoïques', 'p')]",variations en genre et en nombre silencieuses
stratosphérique,"[('stratosphérique', 's'), ('stratosphériques', 'p')]",variations en genre et en nombre silencieuses
stratégique,"[('stratégique', 's'), ('stratégiques', 'p')]",variations en genre et en nombre silencieuses
stressant,"[('stressant', 'ms'), ('stressante', 'fs'), ('stressantes', 'fp'), ('stressants', 'mp')]",variations en genre audible et en nombre silencieuses
striatal,"[('striatal', 'ms'), ('striatale', 'fs'), ('striatales', 'fp'), ('striataux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
strict,"[('strict', 'ms'), ('stricte', 'fs'), ('strictes', 'fp'), ('stricts', 'mp')]",variations en genre audible et en nombre silencieuses
strident,"[('strident', 'ms'), ('stridente', 'fs'), ('stridentes', 'fp'), ('stridents', 'mp')]",variations en genre audible et en nombre silencieuses
strigilleux,"[('strigilleuse', 'fs'), ('strigilleuses', 'fp'), ('strigilleux', 'm')]",variations en genre audible et en nombre silencieuses
structural,"[('structural', 'ms'), ('structurale', 'fs'), ('structurales', 'fp'), ('structuraux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
structurant,"[('structurant', 'ms'), ('structurante', 'fs'), ('structurantes', 'fp'), ('structurants', 'mp')]",variations en genre audible et en nombre silencieuses
structurel,"[('structurel', 'ms'), ('structurelle', 'fs'), ('structurelles', 'fp'), ('structurels', 'mp')]",variations en genre et en nombre silencieuses
studieux,"[('studieuse', 'fs'), ('studieuses', 'fp'), ('studieux', 'm')]",variations en genre audible et en nombre silencieuses
stupide,"[('stupide', 's'), ('stupides', 'p')]",variations en genre et en nombre silencieuses
stupéfait,"[('stupéfait', 'ms'), ('stupéfaite', 'fs'), ('stupéfaites', 'fp'), ('stupéfaits', 'mp')]",variations en genre audible et en nombre silencieuses
stupéfiant,"[('stupéfiant', 'ms'), ('stupéfiante', 'fs'), ('stupéfiantes', 'fp'), ('stupéfiants', 'mp')]",variations en genre audible et en nombre silencieuses
sténographique,"[('sténographique', 's'), ('sténographiques', 'p')]",variations en genre et en nombre silencieuses
stérile,"[('stérile', 's'), ('stériles', 'p')]",variations en genre et en nombre silencieuses
stérilisant,"[('stérilisant', 'ms'), ('stérilisante', 'fs'), ('stérilisantes', 'fp'), ('stérilisants', 'mp')]",variations en genre audible et en nombre silencieuses
stéréophonique,"[('stéréophonique', 's'), ('stéréophoniques', 'p')]",variations en genre et en nombre silencieuses
stéréoscopique,"[('stéréoscopique', 's'), ('stéréoscopiques', 'p')]",variations en genre et en nombre silencieuses
suave,"[('suave', 's'), ('suaves', 'p')]",variations en genre et en nombre silencieuses
subacuminé,"[('subacuminé', 'ms'), ('subacuminée', 'fs'), ('subacuminées', 'fp'), ('subacuminés', 'mp')]",variations en genre et en nombre silencieuses
subalterne,"[('subalterne', 's'), ('subalternes', 'p')]",variations en genre et en nombre silencieuses
subangulaire,"[('subangulaire', 's'), ('subangulaires', 'p')]",variations en genre et en nombre silencieuses
subdésertique,"[('subdésertique', 's'), ('subdésertiques', 'p')]",variations en genre et en nombre silencieuses
subit,"[('subit', 'ms'), ('subite', 'fs'), ('subites', 'fp'), ('subits', 'mp')]",variations en genre audible et en nombre silencieuses
subjectif,"[('subjectif', 'ms'), ('subjectifs', 'mp'), ('subjective', 'fs'), ('subjectives', 'fp')]",variations en genre audible et en nombre silencieuses
subjectiviste,"[('subjectiviste', 's'), ('subjectivistes', 'p')]",variations en genre et en nombre silencieuses
sublime,"[('sublime', 's'), ('sublimes', 'p')]",variations en genre et en nombre silencieuses
sublingual,"[('sublingual', 'ms'), ('sublinguale', 'fs'), ('sublinguales', 'fp'), ('sublinguaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
subrepteur,"[('subrepteur', 'ms'), ('subrepteurs', 'mp'), ('subreptrice', 'fs'), ('subreptrices', 'fp')]",invariable
subrogatif,"[('subrogatif', 'ms'), ('subrogatifs', 'mp'), ('subrogative', 'fs'), ('subrogatives', 'fp')]",variations en genre audible et en nombre silencieuses
subrogatoire,"[('subrogatoire', 's'), ('subrogatoires', 'p')]",variations en genre et en nombre silencieuses
subsaharien,"[('subsaharien', 'ms'), ('subsaharienne', 'fs'), ('subsahariennes', 'fp'), ('subsahariens', 'mp')]",variations en genre audible et en nombre silencieuses
subsidiaire,"[('subsidiaire', 's'), ('subsidiaires', 'p')]",variations en genre et en nombre silencieuses
subsonique,"[('subsonique', 's'), ('subsoniques', 'p')]",variations en genre et en nombre silencieuses
substantiel,"[('substantiel', 'ms'), ('substantielle', 'fs'), ('substantielles', 'fp'), ('substantiels', 'mp')]",variations en genre et en nombre silencieuses
substituable,"[('substituable', 's'), ('substituables', 'p')]",variations en genre et en nombre silencieuses
substitutif,"[('substitutif', 'ms'), ('substitutifs', 'mp'), ('substitutive', 'fs'), ('substitutives', 'fp')]",variations en genre audible et en nombre silencieuses
subséquent,"[('subséquent', 'ms'), ('subséquente', 'fs'), ('subséquentes', 'fp'), ('subséquents', 'mp')]",variations en genre audible et en nombre silencieuses
subtil,"[('subtil', 'ms'), ('subtile', 'fs'), ('subtiles', 'fp'), ('subtils', 'mp')]",invariable
subtropical,"[('subtropical', 'ms'), ('subtropicale', 'fs'), ('subtropicales', 'fp'), ('subtropicaux', 'mp')]",variations en genre silencieuses et en nombre audibles au masculin mais silencieuses au féminin
subulé,"[('subulé', 'ms'), ('subulée', 'fs'), ('subulées', 'fp'), ('subulés', 'mp')]",variations en genre et en nombre silencieuses
suburbain,"[('suburbain', 'ms'), ('suburbaine', 'fs'), ('suburbaines', 'fp'), ('suburbains', 'mp')]",variations en genre audible et en nombre silencieuses
subversif,"[('subversif', 'ms'), ('subversifs', 'mp'), ('subversive', 'fs'), ('subversives', 'fp')]",variations en genre audible et en nombre silencieuses
subéreux,"[('subéreuse', 'fs'), ('subéreuses', 'fp'), ('subéreux', 'm')]",variations en genre audible et en nombre silencieuses
successif,"[('successif', 'ms'), ('successifs', 'mp'), ('successive', 'fs'), ('successives', 'fp')]",variations en genre audible et en nombre silencieuses
succinct,"[('succinct', 'ms'), ('succincte', 'fs'), ('succinctes', 'fp'), ('succincts', 'mp')]",variations en genre audible et en nombre silencieuses
succint,"[('succint', 'ms'), ('succinte', 'fs'), ('succintes', 'fp'), ('succints', 'mp')]",variations en genre audible et en nombre silencieuses
succulent,"[('succulent', 'ms'), ('succulente', 'fs'), ('succulentes', 'fp'), ('succulents', 'mp')]",variations en genre audible et en nombre silencieuses
sucrière,"[('sucrière', 's'), ('sucrières', 'p')]",variations en genre et en nombre silencieuses
sud,"[('sud', '')]",invariable
sud-est,"[('sud-est', '')]",invariable
sudoripare,"[('sudoripare', 's'), ('sudoripares', 'p')]",variations en genre et en nombre silencieuses
suffisant,"[('suffisant', 'ms'), ('suffisante', 'fs'), ('suffisantes', 'fp'), ('suffisants', 'mp')]",variations en genre audible et en nombre silencieuses
suffocant,"[('suffocant', 'ms'), ('suffocante', 'fs'), ('suffocantes', 'fp'), ('suffocants', 'mp')]",variations en genre audible et en nombre silencieuses
suggestif,"[('suggestif', 'ms'), ('suggestifs', 'mp'), ('suggestive', 'fs'), ('suggestives', 'fp')]",variations en genre audible et en nombre silencieuses
suicidaire,"[('suicidaire', 's'), ('suicidaires', 'p')]",variations en genre et en nombre silencieuses
suisse,"[('suisse', 's'), ('suisses', 'p')]",variations en genre et en nombre silencieuses
suivant,"[('suiv..', ''), ('suivant', 'ms'), ('suivante', 'fs'), ('suivantes', 'fp'), ('suivants', 'mp')]",variations en genre audible et en nombre silencieuses
sulfureux,"[('sulfureuse', 'fs'), ('sulfureuses', 'fp'), ('sulfureux', 'm')]",variations en genre audible et en nombre silencieuses
sulfurique,"[('sulfurique', 's'), ('sulfuriques', 'p')]",variations en genre et en nombre silencieuses
supérieur,"[('sup..', ''), ('supérieur', 'ms'), ('supérieure', 'fs'), ('supérieures', 'fp'), ('supérieurs', 'mp')]",invariable
super,"[('super', '')]",variations en genre et en nombre silencieuses
superbe,"[('superbe', 's'), ('superbes', 'p')]",variations en genre et en nombre silencieuses
superficiel,"[('superficiel', 'ms'), ('superficielle', 'fs'), ('superficielles', 'fp'), ('superficiels', 'mp')]",variations en genre et en nombre silencieuses
superflu,"[('superflu', 'ms'), ('superflue', 'fs'), ('superflues', 'fp'), ('superflus', 'mp')]",variations en genre et en nombre silencieuses
superfétatoire,"[('superfétatoire', 's'), ('superfétatoires', 'p')]",variations en genre et en nombre silencieuses
supergrand,"[('supergrand', 'ms'), ('supergrande', 'fs'), ('supergrandes', 'fp'), ('supergrands', 'mp')]",invariable
superposable,"[('superposable', 's'), ('superposables', 'p')]",variations en genre et en nombre silencieuses
