adjectifs,ensembles des traits morpho,catégorie
fourcheté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fourchu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fouriériste,"{'s', 'p'}",Varie en nombre
fourmillant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fourni,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fourrager,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fourré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
foutral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
foutraque,"{'s', 'p'}",Varie en nombre
foutu,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
foxé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fracassant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fractal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fractionnable,"{'s', 'p'}",Varie en nombre
fractionnaire,"{'s', 'p'}",Varie en nombre
fractionnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fractionné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fragile,"{'s', 'p'}",Varie en nombre
fragilisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fragmentaire,"{'s', 'p'}",Varie en nombre
frais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fraise,{''},Ne varie pas en genre et en nombre
fraisier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
framboise,{''},Ne varie pas en genre et en nombre
framboisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
franc,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
franc-bourgeois,{'m'},Ne varie pas en genre et en nombre
franc-comtois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
franc-maçon,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
franc-maçonnique,"{'s', 'p'}",Varie en nombre
franchissable,"{'s', 'p'}",Varie en nombre
franchisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
franchouillard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
francien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
francique,"{'s', 'p'}",Varie en nombre
francisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
franciscain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
franco-américain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
franco-belge,"{'s', 'p'}",Varie en nombre
francophile,"{'s', 'p'}",Varie en nombre
francophobe,"{'s', 'p'}",Varie en nombre
francophone,"{'s', 'p'}",Varie en nombre
frangeant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
franglais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
franquiste,"{'s', 'p'}",Varie en nombre
français,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
frappant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frappeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
frappé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fraternel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fratricide,"{'s', 'p'}",Varie en nombre
fraudeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
frauduleux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
free-lance,{''},Ne varie pas en genre et en nombre
frelaté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fretté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
freudien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
friable,"{'s', 'p'}",Varie en nombre
friand,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fricatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fricoteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
frictionnel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frigide,"{'s', 'p'}",Varie en nombre
frigorifique,"{'s', 'p'}",Varie en nombre
frigorifié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frileux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
frimeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fringant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fringué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fripon,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
friqué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frison,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frisottant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frisotté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frisquet,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
frissonnant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frisé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frit,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frivole,"{'s', 'p'}",Varie en nombre
froid,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
froissable,"{'s', 'p'}",Varie en nombre
froissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fromager,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
froment,{''},Ne varie pas en genre et en nombre
fromental,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
froncé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frondeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
frontal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frontalier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
frontiste,"{'s', 'p'}",Varie en nombre
fronto-temporal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frottant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
froudroyant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
froufroutant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
froussard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fructifère,"{'s', 'p'}",Varie en nombre
fructueux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
frugal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frugivore,"{'s', 'p'}",Varie en nombre
fruitier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fruité,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frumentacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frumentaire,"{'s', 'p'}",Varie en nombre
fruste,"{'s', 'p'}",Varie en nombre
frustrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frustratoire,"{'s', 'p'}",Varie en nombre
frustré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frutescent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frère,"{'mp', 'ms'}",Varie en nombre
frémissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frénateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
frénétique,"{'s', 'p'}",Varie en nombre
fréquent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fréquentable,"{'s', 'p'}",Varie en nombre
fréquentatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fréquentiel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fréquenté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frétillant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
frêle,"{'s', 'p'}",Varie en nombre
frôleur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fuchsia,{''},Ne varie pas en genre et en nombre
fugace,"{'s', 'p'}",Varie en nombre
fugitif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fugueur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fugué,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fulgurant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fuligineux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fulminant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fulminatoire,"{'s', 'p'}",Varie en nombre
fulminique,"{'s', 'p'}",Varie en nombre
fumable,"{'s', 'p'}",Varie en nombre
fumant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fumasse,"{'s', 'p'}",Varie en nombre
fumeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fumeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fumigatoire,"{'s', 'p'}",Varie en nombre
fumigène,"{'s', 'p'}",Varie en nombre
fumiste,"{'s', 'p'}",Varie en nombre
fumivore,"{'s', 'p'}",Varie en nombre
fumé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
funambulesque,"{'s', 'p'}",Varie en nombre
funeste,"{'s', 'p'}",Varie en nombre
funiculaire,"{'s', 'p'}",Varie en nombre
funky,{''},Ne varie pas en genre et en nombre
funèbre,"{'s', 'p'}",Varie en nombre
funéraire,"{'s', 'p'}",Varie en nombre
furax,{''},Ne varie pas en genre et en nombre
fureteur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
furfuracé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
furibard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
furibond,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
furieux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
furioso,{''},Ne varie pas en genre et en nombre
furonculeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
furtif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fusant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fuselé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fusible,"{'s', 'p'}",Varie en nombre
fusiforme,"{'s', 'p'}",Varie en nombre
futile,"{'s', 'p'}",Varie en nombre
futur,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
futurible,"{'s', 'p'}",Varie en nombre
futuriste,"{'s', 'p'}",Varie en nombre
futé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fuyant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fuyard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fuégien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fâcheux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
fâché,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
féal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fébrifuge,"{'s', 'p'}",Varie en nombre
fébrile,"{'s', 'p'}",Varie en nombre
fécal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fécond,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fécondable,"{'s', 'p'}",Varie en nombre
fécondant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fécondateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
féculent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fédéral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fédéraliste,"{'s', 'p'}",Varie en nombre
fédérateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fédératif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
fédéré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
féerique,"{'s', 'p'}",Varie en nombre
félin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
félon,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
féminin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
féminisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
féministe,"{'s', 'p'}",Varie en nombre
fémoral,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
féodal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
férial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
férié,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
féroce,"{'s', 'p'}",Varie en nombre
féru,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
fétiche,"{'s', 'p'}",Varie en nombre
fétichiste,"{'s', 'p'}",Varie en nombre
fétide,"{'s', 'p'}",Varie en nombre
fêlé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gabonais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
gaffeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
gaga,{''},Ne varie pas en genre et en nombre
gagiste,"{'s', 'p'}",Varie en nombre
gagnable,"{'s', 'p'}",Varie en nombre
gagnant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gagneur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
gagé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gai,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gaillard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
galactagogue,"{'s', 'p'}",Varie en nombre
galactique,"{'s', 'p'}",Varie en nombre
galactogène,"{'s', 'p'}",Varie en nombre
galactophore,"{'s', 'p'}",Varie en nombre
galant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
galate,"{'s', 'p'}",Varie en nombre
galbé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
galetteux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
galeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
galicien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
galiléen,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gallican,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gallicole,"{'s', 'p'}",Varie en nombre
gallinacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gallique,"{'s', 'p'}",Varie en nombre
gallo,"{'s', 'p'}",Varie en nombre
gallo-romain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gallois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
galonnier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
galonné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
galopant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
galopeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
galvanique,"{'s', 'p'}",Varie en nombre
galvanométrique,"{'s', 'p'}",Varie en nombre
galvanoplastique,"{'s', 'p'}",Varie en nombre
galénique,"{'s', 'p'}",Varie en nombre
gamin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gamma,{''},Ne varie pas en genre et en nombre
gammé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gamopétale,"{'s', 'p'}",Varie en nombre
gamosépale,"{'s', 'p'}",Varie en nombre
ganache,"{'s', 'p'}",Varie en nombre
ganglionnaire,"{'s', 'p'}",Varie en nombre
ganglionné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ganglioplégique,"{'s', 'p'}",Varie en nombre
gangreneux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
gangrené,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gangétique,"{'s', 'p'}",Varie en nombre
ganoïde,"{'s', 'p'}",Varie en nombre
gantelé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gantier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
gantois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
gapençais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
garance,{''},Ne varie pas en genre et en nombre
garant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
garanti,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gardien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gardé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gargantuesque,"{'s', 'p'}",Varie en nombre
garibaldien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
garni,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
garnissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
garonnais,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
garrotté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
garçonnier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
gascon,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gaspilleur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
gassendiste,"{'s', 'p'}",Varie en nombre
gastralgique,"{'s', 'p'}",Varie en nombre
gastrique,"{'s', 'p'}",Varie en nombre
gastro-intestinal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gastronomique,"{'s', 'p'}",Varie en nombre
gauche,"{'s', 'p'}",Varie en nombre
gaucher,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
gauchisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gauchiste,"{'s', 'p'}",Varie en nombre
gaullien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gaulliste,"{'s', 'p'}",Varie en nombre
gaulois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
gavache,"{'s', 'p'}",Varie en nombre
gavot,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gavroche,"{'s', 'p'}",Varie en nombre
gay,"{'s', 'p'}",Varie en nombre
gazeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
gazier,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
gazométrique,"{'s', 'p'}",Varie en nombre
gazonnant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gazonné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gazouillant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gazouilleur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
gazé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gazéifiable,"{'s', 'p'}",Varie en nombre
gaélique,"{'s', 'p'}",Varie en nombre
geignard,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gelé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gemme,"{'s', 'p'}",Varie en nombre
gemmeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
gemmifère,"{'s', 'p'}",Varie en nombre
gemmologiste,"{'s', 'p'}",Varie en nombre
gemmé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
genevois,"{'m', 'fp', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
gent,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gentil,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gentillet,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
gerbeur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
germain,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
germanique,"{'s', 'p'}",Varie en nombre
germanisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
germaniste,"{'s', 'p'}",Varie en nombre
germanophile,"{'s', 'p'}",Varie en nombre
germanophobe,"{'s', 'p'}",Varie en nombre
germanophone,"{'s', 'p'}",Varie en nombre
germicide,"{'s', 'p'}",Varie en nombre
germinal,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
germinateur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
germinatif,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
germé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gestatoire,"{'s', 'p'}",Varie en nombre
gesticulant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gestionnaire,"{'s', 'p'}",Varie en nombre
gestuel,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ghanéen,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gibbeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
gibelin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
giboyeux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
gigantesque,"{'s', 'p'}",Varie en nombre
gigogne,"{'s', 'p'}",Varie en nombre
gigotant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gigotté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gigoté,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gingival,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
ginguet,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
giottesque,"{'s', 'p'}",Varie en nombre
giralducien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
giratoire,"{'s', 'p'}",Varie en nombre
girond,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
girondin,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gironné,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gisant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
giscardien,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
gitan,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
givrant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
givreux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
givré,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
glabre,"{'s', 'p'}",Varie en nombre
glaceur,"{'mp', 'ms', 'fp', 'fs'}",Varie en genre et en nombre
glaceux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
glaciaire,"{'s', 'p'}",Varie en nombre
glacial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
glaciologique,"{'s', 'p'}",Varie en nombre
glacé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
glagolitique,"{'s', 'p'}",Varie en nombre
glaireux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
glaise,"{'s', 'p'}",Varie en nombre
glaiseux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
glamour,{''},Ne varie pas en genre et en nombre
glandulaire,"{'s', 'p'}",Varie en nombre
glanduleux,"{'fp', 'm', 'fs'}",Varie en genre et en nombre au féminin et ne varie pas en nombre au masculin
glandé,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
glapissant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
glauque,"{'s', 'p'}",Varie en nombre
glaçant,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
glial,"{'mp', 'fp', 'ms', 'fs'}",Varie en genre et en nombre
